i,j,tau_sch,margin_sch_exact,margin_sch_float,tau_cau,margin_cau_exact,margin_cau_float,ratio_cau_over_sch
40,0,1,6943523716585930350438623706944316624016354030804314529188460996388875104527960260855744327071357589137422184362164898249068606242852845586559912703416054020559894669151982212690099463691684943234522267911554596516016982912683375594239685044768903381289517677101/135562709335778198229182662545614514964464708306190640343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05122001286789988,1,6943523716585930350438623706944316624016354030804314529188460996388875104527960260855744327071357589137422184362164898249068606242852845586559912703416054020559894669151982212690099463691684943234522267911554596516016982912683375594239685044768903381289517677101/135562709335778198229182662545614514964464708306190640343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05122001286789988,1.0
40,1,1,48693259355395944948418446596744482449734733847642746657980738384476163272503990344029364696017204927004645425404060765556675239997990774626123622938919250243055051183184783452879975501675964081103118354292593527164546745226497480753688782542382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05131337328677752,1,48693244504381552465795751572540338264174828730137019032077606141670629813359255180550857616874679295700963185559287950818936668673552535154634118749617891886871318460724035003841526631160973622046117208465380706892977745226497480753688782542382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0513133576366515,0.9999996950088249
40,2,1,48951832391746534429216565307679471416357616670881799581969407440678867609069779238008466889270445524022402222680150901270751741637254606741815086325844867652533304137345114070740746911360106896520669243305122157767830339739639035535721744229382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.051585859764614474,1,48951595948286498562624660930487928969944289807897078441470261165760871686109807752334508183661906624315074098859218799777726151822250031088382484835339404397219794274033319915741084659044483551608650910069717033422726339739639035535721744229382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05158561059847348,0.9999951698751919
40,3,1,49369020526169900194713638531885060298109235625661025537864844779613662460317333072970783839971100301391149541821726311250888342041189934846395719785338716864131366810497447226962360513988928043874695791931851795259969663928208293505776680374382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.052025496189776234,1,49367833373539167889888878968500812818935680753091389250114760004437752670725635005563632336696689314275192365335793832153924203992709350468204485463038185082097045187989266754657517627251724860257602979927613353262880663928208293505776680374382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0520242451581777,0.9999759534903047
40,4,1,49932744275665343122551548476346979384002161045253187834140246186904284624769142972376290655853553233661420706909683173178899296539397327004561959964767871059541824969069914698565581361646803751386441344482555319370964717792205254663853590977382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05261955309973488,1,49929035487067838533158092448734076066974919196059943138581967504025575639248092016041467748554348947317813700544529132903998904582334815911253351814643994280653391703932794113964244583747166232794148012716073329849300717792205254663853590977382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05261564474658159,0.999925724318755
40,5,1,50630266351884139133488786060716969981988066813399243592546620169096619889968483218691272291887876843593401245562929698987721714728364871018801562333544889905096117149401997432778818729207781480518005340063394761722815501331629919009952476038382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05335460783105914,1,50621345839423301852531575230396429929638491657488511810293681186659233980045314458546738566494572822804855151207158960171227438506661667705204726228459716468718945630240788538598173383658744569892289198055382091992190501331629919009952476038382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.053345207318711604,0.9998238106748474
40,6,1,51448282600616797696513644046959125091244454202569305831659929556548718652027669567229766237966737133527788397322439092060250012574686628236608948130039306009443149049902291311310607008055579925972343312576921305829522014546482286544073335557382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.054216640352224045,1,51430120429079853889366315501161133979817386525975375878249074081020209289721068667652295289970609979843806192549532449832352665886824644459193921744604593414673995517643374344146964569019624988098858320509106233876098014546482286544073335557382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05419750090047834,0.9996469819667658
40,7,1,7481863945427814040970513446607954530465869113514148698314486678530508315869988263358319855064745626086713551879862635267179187440934701897594539167781811627826844292561177343022619754817655573670466698674582183871012036776680336752316595647768903381289517677101/135562709335778198229182662545614514964464708306190640343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05519116563903886,1,7477160339073409220452014784052125955545794002901972269700511376648759091315694485421537325968962369667997756080359867481389855205521463036095510971274337223058746237166552480957906010184760117119073679940584830722845036776680336752316595647768903381289517677101/135562709335778198229182662545614514964464708306190640343750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.0551564687347246,0.9993713322791336
40,8,1,53390535025652582520380032042712791729107291638552560154261909287386119450444683539789797098344208148199577326342557132068776435804883589701226340648220508575325091841387844691953246597454869910865443797994186192823502230002470131176380977969382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05626340257398454,1,53335760900060485829828915400269971425644369794907490306180919094000191379638351857108035483512386394818056358165983231370283796902004939619610253820794829702096818661695412643500450736682173613388750489730474360476878230002470131176380977969382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.05620568113183481,0.9989740854710338
40,9,1,54486631515355457219949881392130817572081220458930374268671283383219969207861431657311301583903611948039637516139580814060462503062997918277084368245967522079532709215063321319841643891682155005914397852684972662198775932243605608274567760862382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.057418478432101586,1,54401370565381233689016156294253309275440358410023857033187865599805527166813222400439346196263103947559879422631709881189954354000024962581644765386387700810261339568172306024286260674219193132929880080341658860434566932243605608274567760862382323669026623739707/948938965350447387604278637819301604751252958143334482406250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,0.057328629713598665,0.9984351950633946
